repo,pr_number,url,Time to Merge (days),Number of Unique Reviewers,Total Discussion Comments,Commits After First Review,Time Between First and Last Comments (days),Requested Changes,log1p Time to Merge (days),log1p Number of Unique Reviewers,log1p Total Discussion Comments,log1p Commits After First Review,log1p Time Between First and Last Comments (days),log1p Requested Changes
amrex,4607,https://github.com/AMReX-Codes/amrex/pull/4607,0.11,1,0,0,,0,0.10436001532424277,0.6931471805599453,0.0,0.0,,0.0
amrex,4617,https://github.com/AMReX-Codes/amrex/pull/4617,0.16,2,1,0,,0,0.14842000511827327,1.0986122886681096,0.6931471805599453,0.0,,0.0
amrex,4618,https://github.com/AMReX-Codes/amrex/pull/4618,0.78,1,3,1,0.76,0,0.5766133643039938,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.5653138090500605,0.0
mantid,37104,https://github.com/mantidproject/mantid/pull/37104,0.07,0,0,0,,0,0.06765864847381481,0.0,0.0,0.0,,0.0
mantid,37118,https://github.com/mantidproject/mantid/pull/37118,1.33,2,9,2,0.58,1,0.8458682675776092,1.0986122886681096,2.302585092994046,1.0986122886681096,0.4574248470388754,0.6931471805599453
mantid,37133,https://github.com/mantidproject/mantid/pull/37133,2.96,0,0,0,,0,1.3762440252663892,0.0,0.0,0.0,,0.0
mantid,37138,https://github.com/mantidproject/mantid/pull/37138,0.07,0,0,0,,0,0.06765864847381481,0.0,0.0,0.0,,0.0
mantid,37140,https://github.com/mantidproject/mantid/pull/37140,0.09,0,0,0,,0,0.08617769624105233,0.0,0.0,0.0,,0.0
mantid,37148,https://github.com/mantidproject/mantid/pull/37148,0.04,0,0,0,,0,0.039220713153281295,0.0,0.0,0.0,,0.0
mantid,37160,https://github.com/mantidproject/mantid/pull/37160,0.09,0,0,0,,0,0.08617769624105233,0.0,0.0,0.0,,0.0
mantid,37161,https://github.com/mantidproject/mantid/pull/37161,0.08,0,0,0,,0,0.07696104113612832,0.0,0.0,0.0,,0.0
mantid,37172,https://github.com/mantidproject/mantid/pull/37172,0.04,0,0,0,,0,0.039220713153281295,0.0,0.0,0.0,,0.0
mantid,37182,https://github.com/mantidproject/mantid/pull/37182,1.04,0,0,0,,0,0.712949807856125,0.0,0.0,0.0,,0.0
mantid,37208,https://github.com/mantidproject/mantid/pull/37208,1.02,0,0,0,,0,0.7030975114131134,0.0,0.0,0.0,,0.0
mantid,37312,https://github.com/mantidproject/mantid/pull/37312,0.13,0,0,0,,0,0.12221763272424921,0.0,0.0,0.0,,0.0
mantid,37350,https://github.com/mantidproject/mantid/pull/37350,400.02,3,52,11,364.99,2,5.994011301374558,1.3862943611198906,3.970291913552122,2.4849066497880004,5.902606010623731,1.0986122886681096
mantid,37736,https://github.com/mantidproject/mantid/pull/37736,0.24,0,0,0,,0,0.2151113796169455,0.0,0.0,0.0,,0.0
mantid,37737,https://github.com/mantidproject/mantid/pull/37737,0.04,0,0,0,,0,0.039220713153281295,0.0,0.0,0.0,,0.0
mantid,37764,https://github.com/mantidproject/mantid/pull/37764,0.65,0,0,0,,0,0.5007752879124893,0.0,0.0,0.0,,0.0
mantid,37784,https://github.com/mantidproject/mantid/pull/37784,0.05,0,0,0,,0,0.04879016416943201,0.0,0.0,0.0,,0.0
mantid,37785,https://github.com/mantidproject/mantid/pull/37785,0.06,0,0,0,,0,0.058268908123975775,0.0,0.0,0.0,,0.0
mantid,37825,https://github.com/mantidproject/mantid/pull/37825,1.87,0,2,0,1.12,0,1.0543120297715298,0.0,1.0986122886681096,0.0,0.7514160886839212,0.0
mantid,37853,https://github.com/mantidproject/mantid/pull/37853,0.1,0,0,0,,0,0.09531017980432487,0.0,0.0,0.0,,0.0
mantid,37871,https://github.com/mantidproject/mantid/pull/37871,0.04,0,0,0,,0,0.039220713153281295,0.0,0.0,0.0,,0.0
mantid,37882,https://github.com/mantidproject/mantid/pull/37882,0.03,0,0,0,,0,0.0295588022415444,0.0,0.0,0.0,,0.0
mantid,37910,https://github.com/mantidproject/mantid/pull/37910,0.07,0,0,0,,0,0.06765864847381481,0.0,0.0,0.0,,0.0
mantid,37911,https://github.com/mantidproject/mantid/pull/37911,0.07,0,0,0,,0,0.06765864847381481,0.0,0.0,0.0,,0.0
mantid,37913,https://github.com/mantidproject/mantid/pull/37913,0.8,0,0,0,,0,0.5877866649021191,0.0,0.0,0.0,,0.0
mantid,37930,https://github.com/mantidproject/mantid/pull/37930,0.14,0,0,0,,0,0.1310282624064041,0.0,0.0,0.0,,0.0
mantid,37943,https://github.com/mantidproject/mantid/pull/37943,0.06,0,0,0,,0,0.058268908123975775,0.0,0.0,0.0,,0.0
mantid,37951,https://github.com/mantidproject/mantid/pull/37951,0.07,0,0,0,,0,0.06765864847381481,0.0,0.0,0.0,,0.0
mantid,38017,https://github.com/mantidproject/mantid/pull/38017,0.27,0,0,0,,0,0.23901690047049992,0.0,0.0,0.0,,0.0
mantid,38125,https://github.com/mantidproject/mantid/pull/38125,0.82,0,0,0,,0,0.598836501088704,0.0,0.0,0.0,,0.0
mantid,38139,https://github.com/mantidproject/mantid/pull/38139,0.27,0,0,0,,0,0.23901690047049992,0.0,0.0,0.0,,0.0
mantid,38186,https://github.com/mantidproject/mantid/pull/38186,11.01,1,4,1,131.89,0,2.485739636091892,0.6931471805599453,1.6094379124341003,0.6931471805599453,4.889521718343416,0.0
mantid,38277,https://github.com/mantidproject/mantid/pull/38277,0.17,0,0,0,,0,0.15700374880966475,0.0,0.0,0.0,,0.0
mantid,38359,https://github.com/mantidproject/mantid/pull/38359,0.56,1,1,0,,0,0.44468582126144574,0.6931471805599453,0.6931471805599453,0.0,,0.0
mantid,38455,https://github.com/mantidproject/mantid/pull/38455,40.83,3,19,50,36.98,2,3.733613785454107,1.3862943611198906,2.995732273553991,3.9318256327243257,3.63705970538414,1.0986122886681096
mantid,38600,https://github.com/mantidproject/mantid/pull/38600,85.95,2,9,19,83.25,2,4.465333240800292,1.0986122886681096,2.302585092994046,2.995732273553991,4.433788569232471,1.0986122886681096
